Date,Time,Time Zone,Water Temperature (°C),Specific Conductance (?S/cm),Dissolved Oxygen (mg/L),pH,Turbidity (FNU),Chlorophyll (RFU),Phycocyanin (RFU),fDOM(ppb QSE),Latitude,Longitude
7/15/2019,10:26:50,EDT,29.89,541.6,4.94,7.59,2.58,3.18,0.29,302.6,26.7213,-81.6945
7/15/2019,10:26:55,EDT,29.89,541.6,4.93,7.58,2.61,3.23,0.29,303.1,26.7213,-81.6945
7/15/2019,10:27:00,EDT,29.89,541.6,4.92,7.58,2.62,3.26,0.29,303.5,26.7213,-81.6945
7/15/2019,10:27:05,EDT,29.89,541.6,4.92,7.58,2.62,3.21,0.29,304.0,26.7214,-81.6945
7/15/2019,10:27:10,EDT,29.89,541.6,4.92,7.58,2.56,3.18,0.3,304.2,26.7214,-81.6945
7/15/2019,10:27:15,EDT,29.89,541.6,4.92,7.58,2.49,3.22,0.3,304.4,26.7214,-81.6945
7/15/2019,10:27:20,EDT,29.9,541.7,4.91,7.58,2.45,3.22,0.28,304.8,26.7214,-81.6945
7/15/2019,10:27:25,EDT,29.9,541.8,4.9,7.58,2.43,3.2,0.31,305.1,26.7214,-81.6945
7/15/2019,10:27:30,EDT,29.9,541.9,4.89,7.58,2.44,3.14,0.3,305.5,26.7215,-81.6946
7/15/2019,10:27:40,EDT,29.91,541.9,4.87,7.58,2.41,3.23,0.34,306.0,26.7215,-81.6948
7/15/2019,10:27:45,EDT,29.92,541.9,4.87,7.58,2.37,3.28,0.33,306.3,26.7216,-81.6949
7/15/2019,10:27:50,EDT,29.92,541.9,4.86,7.58,2.36,3.21,0.33,306.6,26.7216,-81.695
7/15/2019,10:27:55,EDT,29.92,541.9,4.87,7.58,2.36,3.22,0.34,306.9,26.7217,-81.6951
7/15/2019,10:28:00,EDT,29.93,542,4.87,7.58,2.36,3.25,0.33,307.3,26.7217,-81.6952
7/15/2019,10:28:05,EDT,29.94,542,4.87,7.58,2.4,3.19,0.32,307.7,26.7217,-81.6953
7/15/2019,10:28:10,EDT,29.94,542.1,4.87,7.58,2.38,3.15,0.3,307.9,26.7217,-81.6953
7/15/2019,10:28:15,EDT,29.93,542.1,4.86,7.58,2.38,3.06,0.25,308.2,26.7218,-81.6954
7/15/2019,10:28:20,EDT,29.93,542.1,4.86,7.58,2.35,3.02,0.24,308.3,26.7218,-81.6955
7/15/2019,10:28:25,EDT,29.94,542,4.86,7.58,2.35,3.05,0.23,308.5,26.7218,-81.6956
7/15/2019,10:28:30,EDT,29.94,542,4.87,7.58,2.36,3.12,0.26,308.8,26.7218,-81.6957
7/15/2019,10:28:35,EDT,29.95,542,4.88,7.58,2.39,3.08,0.28,309.2,26.7218,-81.6958
7/15/2019,10:28:40,EDT,29.96,542.1,4.88,7.58,2.36,3.07,0.26,309.5,26.7218,-81.6959
7/15/2019,10:28:45,EDT,29.97,542.1,4.89,7.58,2.37,3.09,0.28,309.9,26.7218,-81.696
7/15/2019,10:28:50,EDT,29.98,542.1,4.89,7.58,2.35,3.09,0.25,310.2,26.7218,-81.6961
7/15/2019,10:28:55,EDT,29.98,542.1,4.89,7.58,2.36,3.05,0.29,310.5,26.7219,-81.6962
7/15/2019,10:29:00,EDT,29.97,542.1,4.89,7.58,2.36,3.05,0.29,310.8,26.7219,-81.6962
7/15/2019,10:29:05,EDT,29.96,542,4.88,7.58,2.39,3.11,0.27,311.2,26.7219,-81.6963
7/15/2019,10:29:10,EDT,29.95,542,4.88,7.58,2.43,3.13,0.28,311.6,26.722,-81.6963
7/15/2019,10:29:15,EDT,29.95,542,4.88,7.58,2.43,3.13,0.28,311.9,26.722,-81.6963
7/15/2019,10:29:20,EDT,29.95,542,4.88,7.58,2.4,3.1,0.29,312.1,26.7221,-81.6962
7/15/2019,10:29:25,EDT,29.94,542,4.88,7.58,2.36,3.19,0.29,312.2,26.7221,-81.6962
7/15/2019,10:29:30,EDT,29.94,542.1,4.88,7.58,2.31,3.19,0.29,312.3,26.7222,-81.6961
7/15/2019,10:29:35,EDT,29.95,542.1,4.87,7.59,2.3,3.04,0.29,312.4,26.7223,-81.696
7/15/2019,10:29:40,EDT,29.95,542.1,4.88,7.59,2.28,3.02,0.28,312.4,26.7223,-81.696
7/15/2019,10:29:45,EDT,29.96,542,4.89,7.59,2.29,2.99,0.27,312.5,26.7223,-81.696
7/15/2019,10:29:50,EDT,29.96,542,4.9,7.59,2.28,2.98,0.28,312.7,26.7224,-81.6959
7/15/2019,10:29:55,EDT,29.95,542,4.9,7.59,2.33,2.97,0.26,313.1,26.7224,-81.6958
7/15/2019,10:30:00,EDT,29.94,542,4.9,7.59,2.35,3.02,0.26,313.3,26.7224,-81.6958
7/15/2019,10:30:05,EDT,29.93,541.9,4.9,7.59,2.41,3.09,0.26,313.5,26.7225,-81.6957
7/15/2019,10:30:10,EDT,29.92,541.8,4.9,7.59,2.42,3.13,0.26,313.4,26.7225,-81.6957
7/15/2019,10:30:15,EDT,29.92,541.8,4.9,7.59,2.47,3.14,0.27,313.4,26.7225,-81.6956
7/15/2019,10:30:20,EDT,29.91,541.8,4.91,7.59,2.5,3.16,0.28,313.4,26.7225,-81.6955
7/15/2019,10:30:25,EDT,29.91,541.8,4.91,7.59,2.48,3.21,0.29,313.5,26.7225,-81.6955
7/15/2019,10:30:30,EDT,29.92,541.9,4.91,7.59,2.43,3.18,0.28,313.5,26.7225,-81.6955
7/15/2019,10:30:35,EDT,29.95,542.1,4.92,7.59,2.36,3.23,0.29,313.5,26.7226,-81.6955
7/15/2019,10:30:40,EDT,30.02,542.2,4.97,7.59,2.31,3.44,0.32,313.4,26.7226,-81.6954
7/15/2019,10:30:45,EDT,30.09,542.4,5.06,7.6,2.26,3.86,0.36,313.1,26.7226,-81.6954
7/15/2019,10:30:50,EDT,30.15,542.5,5.17,7.61,2.24,3.79,0.38,312.7,26.7226,-81.6954
7/15/2019,10:30:55,EDT,30.2,542.5,5.28,7.61,2.22,3.8,0.4,312.4,26.7226,-81.6954
7/15/2019,10:31:00,EDT,30.23,542.5,5.38,7.62,2.19,3.73,0.4,312.1,26.7226,-81.6954
7/15/2019,10:31:05,EDT,30.25,542.6,5.45,7.63,2.21,3.71,0.4,311.9,26.7226,-81.6954
7/15/2019,10:31:10,EDT,30.26,542.6,5.5,7.64,2.21,3.73,0.43,311.7,26.7226,-81.6954
7/15/2019,10:31:15,EDT,30.25,542.6,5.53,7.64,2.19,3.74,0.42,311.6,26.7226,-81.6954
7/15/2019,10:31:20,EDT,30.23,542.6,5.53,7.64,2.16,3.67,0.41,311.7,26.7226,-81.6954
7/15/2019,10:31:25,EDT,30.19,542.6,5.49,7.64,2.19,3.63,0.4,312.3,26.7226,-81.6954
7/15/2019,10:31:30,EDT,30.15,542.5,5.43,7.63,2.21,3.61,0.37,312.8,26.7226,-81.6954
7/15/2019,10:31:35,EDT,30.13,542.5,5.35,7.63,2.24,3.57,0.36,313.3,26.7226,-81.6954
7/15/2019,10:31:40,EDT,30.12,542.5,5.29,7.62,2.23,3.46,0.37,313.2,26.7226,-81.6954
7/15/2019,10:31:45,EDT,30.12,542.5,5.26,7.62,2.23,3.41,0.35,312.8,26.7227,-81.6954
7/15/2019,10:31:50,EDT,30.12,542.4,5.24,7.62,2.23,3.45,0.35,312.3,26.7227,-81.6954
7/15/2019,10:31:55,EDT,30.13,542.5,5.24,7.62,2.22,3.49,0.35,311.8,26.7227,-81.6954
7/15/2019,10:32:00,EDT,30.14,542.5,5.25,7.62,2.22,3.48,0.33,312.0,26.7227,-81.6953
7/15/2019,10:32:05,EDT,30.13,542.5,5.25,7.62,2.22,3.47,0.34,312.2,26.7228,-81.6954
7/15/2019,10:32:10,EDT,30.13,542.5,5.24,7.62,2.21,3.51,0.35,312.6,26.7228,-81.6954
7/15/2019,10:32:15,EDT,30.14,542.5,5.25,7.62,2.22,3.6,0.36,312.9,26.7228,-81.6953
7/15/2019,10:32:20,EDT,30.15,542.5,5.26,7.62,2.22,3.67,0.4,313.0,26.7228,-81.6955
7/15/2019,10:32:25,EDT,30.15,542.5,5.29,7.62,2.21,3.66,0.44,313.1,26.7228,-81.6955
7/15/2019,10:32:30,EDT,30.15,542.6,5.31,7.62,2.2,3.6,0.4,313.2,26.7228,-81.6955
7/15/2019,10:32:35,EDT,30.14,542.6,5.3,7.62,2.19,3.53,0.39,313.3,26.7228,-81.6955
7/15/2019,10:32:40,EDT,30.12,542.6,5.27,7.62,2.16,3.45,0.34,313.1,26.7228,-81.6955
7/15/2019,10:32:45,EDT,30.1,542.5,5.23,7.62,2.17,3.37,0.3,312.9,26.7229,-81.6955
7/15/2019,10:32:50,EDT,30.09,542.5,5.19,7.61,2.23,3.29,0.32,312.7,26.7229,-81.6955
7/15/2019,10:32:55,EDT,30.1,542.5,5.15,7.61,2.34,3.3,0.29,312.7,26.7229,-81.6956
7/15/2019,10:33:00,EDT,30.1,542.5,5.13,7.61,2.46,3.3,0.32,312.3,26.7229,-81.6956
7/15/2019,10:33:05,EDT,30.11,542.5,5.14,7.61,2.56,3.37,0.33,310.5,26.7229,-81.6956
7/15/2019,10:33:10,EDT,30.12,542.5,5.19,7.61,2.64,3.41,0.3,308.1,26.7229,-81.6956
7/15/2019,10:33:15,EDT,30.13,542.5,5.25,7.61,2.61,3.42,0.33,305.8,26.7229,-81.6956
7/15/2019,10:33:20,EDT,30.14,542.5,5.3,7.61,2.53,3.38,0.33,304.4,26.7229,-81.6956
7/15/2019,10:33:25,EDT,30.14,542.5,5.34,7.62,2.45,3.41,0.32,304.5,26.7229,-81.6956
7/15/2019,10:33:30,EDT,30.14,542.5,5.36,7.62,2.41,3.4,0.35,305.4,26.7229,-81.6957
7/15/2019,10:33:35,EDT,30.13,542.5,5.38,7.62,2.42,3.41,0.33,306.2,26.723,-81.6957
7/15/2019,10:33:40,EDT,30.13,542.5,5.4,7.62,2.42,3.4,0.33,306.7,26.723,-81.6957
7/15/2019,10:33:45,EDT,30.12,542.4,5.4,7.62,2.46,3.36,0.32,306.9,26.723,-81.6957
7/15/2019,10:33:50,EDT,30.11,542.4,5.4,7.62,2.52,3.31,0.3,306.3,26.723,-81.6957
7/15/2019,10:33:55,EDT,30.1,542.4,5.38,7.62,2.65,3.27,0.29,305.3,26.723,-81.6955
7/15/2019,10:34:00,EDT,30.1,542.5,5.35,7.62,2.75,3.25,0.29,303.8,26.723,-81.6957
7/15/2019,10:34:05,EDT,30.1,542.5,5.35,7.62,2.83,3.23,0.29,302.2,26.723,-81.6957
7/15/2019,10:34:10,EDT,30.11,541.9,5.35,7.62,2.82,3.27,0.31,300.3,26.723,-81.6956
7/15/2019,10:34:15,EDT,30.14,540,5.37,7.62,2.81,3.39,0.33,298.4,26.723,-81.6957
7/15/2019,10:34:20,EDT,30.17,538.2,5.41,7.62,2.71,3.51,0.36,296.3,26.723,-81.6957
7/15/2019,10:34:25,EDT,30.19,537.8,5.48,7.62,2.61,3.5,0.37,294.8,26.723,-81.6957
7/15/2019,10:34:35,EDT,30.19,539.5,5.54,7.63,2.33,3.29,0.35,294.4,26.723,-81.6958
7/15/2019,10:34:40,EDT,30.19,539.6,5.53,7.63,2.23,3.18,0.32,295.6,26.723,-81.6958
7/15/2019,10:34:45,EDT,30.19,539.2,5.52,7.63,2.22,3.2,0.29,296.9,26.723,-81.6959
7/15/2019,10:34:50,EDT,30.19,539.2,5.5,7.63,2.19,3.26,0.3,298.0,26.7229,-81.6959
7/15/2019,10:34:55,EDT,30.2,539.7,5.5,7.63,2.2,3.32,0.3,299.2,26.7229,-81.6959
7/15/2019,10:35:00,EDT,30.21,540.2,5.5,7.63,2.16,3.3,0.29,300.1,26.7229,-81.6958
7/15/2019,10:35:05,EDT,30.22,540.5,5.5,7.63,2.16,3.21,0.3,301.1,26.7229,-81.6961
7/15/2019,10:35:10,EDT,30.23,540.6,5.5,7.63,2.18,3.17,0.28,301.9,26.7229,-81.6961
7/15/2019,10:35:15,EDT,30.23,540.7,5.51,7.63,2.18,3.23,0.29,302.7,26.7229,-81.6962
7/15/2019,10:35:20,EDT,30.22,540.7,5.52,7.63,2.22,3.29,0.31,303.6,26.7229,-81.6963
7/15/2019,10:35:25,EDT,30.21,540.8,5.54,7.63,2.22,3.39,0.29,304.4,26.7229,-81.6964
7/15/2019,10:35:30,EDT,30.21,540.9,5.56,7.64,2.25,3.47,0.29,305.2,26.7229,-81.6964
7/15/2019,10:35:35,EDT,30.21,540.9,5.58,7.64,2.3,3.43,0.28,305.6,26.7229,-81.6966
7/15/2019,10:35:45,EDT,30.21,540.8,5.57,7.64,2.33,3.31,0.32,305.2,26.7229,-81.6967
7/15/2019,10:35:50,EDT,30.22,540.5,5.56,7.64,2.32,3.35,0.33,304.8,26.7229,-81.6968
7/15/2019,10:35:55,EDT,30.23,540.2,5.56,7.64,2.37,3.36,0.34,304.8,26.7229,-81.697
7/15/2019,10:36:00,EDT,30.25,540.1,5.59,7.64,2.39,3.43,0.36,304.7,26.723,-81.697
7/15/2019,10:36:05,EDT,30.26,540,5.63,7.64,2.44,3.54,0.36,304.8,26.723,-81.6971
7/15/2019,10:36:10,EDT,30.27,539.9,5.68,7.64,2.46,3.6,0.37,304.6,26.723,-81.6972
7/15/2019,10:36:15,EDT,30.29,539.8,5.72,7.65,2.46,3.61,0.37,304.1,26.723,-81.6974
7/15/2019,10:36:20,EDT,30.29,539.8,5.75,7.65,2.43,3.61,0.39,303.0,26.723,-81.6974
7/15/2019,10:36:25,EDT,30.29,539.8,5.77,7.65,2.4,3.6,0.38,302.1,26.723,-81.6976
7/15/2019,10:36:30,EDT,30.28,539.8,5.77,7.65,2.4,3.62,0.39,301.4,26.723,-81.6976
7/15/2019,10:36:35,EDT,30.29,539.8,5.77,7.65,2.47,3.64,0.41,300.7,26.723,-81.6978
7/15/2019,10:36:40,EDT,30.31,539.8,5.79,7.65,2.56,3.65,0.43,299.8,26.723,-81.6979
7/15/2019,10:36:45,EDT,30.31,539.8,5.81,7.65,2.55,3.67,0.46,298.5,26.7231,-81.698
7/15/2019,10:36:50,EDT,30.31,539.8,5.84,7.65,2.46,3.69,0.48,297.1,26.7231,-81.6981
7/15/2019,10:36:55,EDT,30.3,539.9,5.84,7.65,2.4,3.59,0.47,296.6,26.7231,-81.6982
7/15/2019,10:37:00,EDT,30.28,540.1,5.82,7.65,2.36,3.57,0.44,296.7,26.7231,-81.6983
7/15/2019,10:37:05,EDT,30.27,540.3,5.78,7.65,2.33,3.51,0.42,297.0,26.7232,-81.6984
7/15/2019,10:37:10,EDT,30.28,540.4,5.73,7.64,2.31,3.5,0.38,297.3,26.7232,-81.6985
7/15/2019,10:37:15,EDT,30.29,540.4,5.7,7.64,2.34,3.5,0.41,297.5,26.7232,-81.6987
7/15/2019,10:37:20,EDT,30.29,540.5,5.68,7.64,2.37,3.54,0.42,297.5,26.7233,-81.6988
7/15/2019,10:37:25,EDT,30.3,540.7,5.67,7.64,2.39,3.55,0.41,297.2,26.7233,-81.699
7/15/2019,10:37:30,EDT,30.32,540.7,5.66,7.64,2.36,3.55,0.41,296.6,26.7233,-81.6991
7/15/2019,10:37:35,EDT,30.33,540.5,5.66,7.64,2.38,3.57,0.38,296.3,26.7234,-81.6993
7/15/2019,10:37:40,EDT,30.34,540.3,5.69,7.64,2.36,3.66,0.38,296.0,26.7234,-81.6994
7/15/2019,10:37:45,EDT,30.34,540.2,5.7,7.64,2.34,3.72,0.4,295.8,26.7235,-81.6997
7/15/2019,10:37:55,EDT,30.4,540.5,5.77,7.65,2.27,3.88,0.43,296.2,26.7236,-81.7002
7/15/2019,10:38:00,EDT,30.41,540.4,5.82,7.65,2.23,3.79,0.42,296.6,26.7236,-81.7004
7/15/2019,10:38:10,EDT,30.39,540,5.75,7.65,2.01,3.23,0.36,298.0,26.7237,-81.701
7/15/2019,10:38:15,EDT,30.37,539.8,5.65,7.64,1.96,3.12,0.34,298.9,26.7238,-81.7016
7/15/2019,10:38:20,EDT,30.37,539.6,5.55,7.63,2.03,3.23,0.32,300.0,26.7239,-81.702
7/15/2019,10:38:25,EDT,30.36,539.4,5.51,7.63,2.09,3.34,0.31,300.5,26.7241,-81.7026
7/15/2019,10:38:30,EDT,30.36,539.1,5.49,7.63,2.17,3.37,0.33,300.7,26.7242,-81.7031
7/15/2019,10:38:35,EDT,30.35,538.8,5.48,7.63,2.18,3.53,0.36,300.9,26.7242,-81.7033
7/15/2019,10:38:40,EDT,30.33,538.4,5.47,7.62,2.2,3.63,0.39,301.3,26.7243,-81.7043
7/15/2019,10:38:45,EDT,30.33,538.1,5.47,7.62,2.15,3.65,0.43,301.8,26.7244,-81.7051
7/15/2019,10:38:50,EDT,30.35,537.9,5.47,7.62,2.1,3.65,0.43,302.5,26.7245,-81.7055
7/15/2019,10:38:55,EDT,30.38,537.7,5.49,7.63,2.09,3.63,0.4,303.3,26.7246,-81.7062
7/15/2019,10:39:00,EDT,30.4,537.6,5.5,7.63,2.08,3.55,0.39,303.7,26.7247,-81.7067
7/15/2019,10:39:05,EDT,30.41,537.5,5.51,7.63,2.1,3.56,0.38,304.5,26.7248,-81.7073
7/15/2019,10:39:10,EDT,30.42,537.4,5.5,7.63,2.06,3.56,0.4,304.9,26.7248,-81.7078
7/15/2019,10:39:15,EDT,30.42,537.3,5.5,7.63,2.06,3.58,0.39,305.5,26.725,-81.7084
7/15/2019,10:39:20,EDT,30.42,537.1,5.5,7.63,2.05,3.51,0.37,306.3,26.7251,-81.7088
7/15/2019,10:39:25,EDT,30.41,537,5.5,7.63,2.05,3.47,0.35,307.1,26.7252,-81.7094
7/15/2019,10:39:35,EDT,30.38,536.7,5.43,7.63,1.98,3.29,0.31,308.7,26.7254,-81.7104
7/15/2019,10:39:40,EDT,30.38,536.6,5.39,7.62,2,3.27,0.32,309.5,26.7254,-81.7109
7/15/2019,10:39:45,EDT,30.37,536.4,5.37,7.62,2,3.28,0.32,310.3,26.7253,-81.7116
7/15/2019,10:39:50,EDT,30.36,536.3,5.35,7.62,1.98,3.26,0.32,311.1,26.7253,-81.7121
7/15/2019,10:39:55,EDT,30.33,536.2,5.31,7.62,1.96,3.26,0.3,311.9,26.7252,-81.7129
7/15/2019,10:40:00,EDT,30.31,536.1,5.27,7.61,1.98,3.4,0.31,312.9,26.7251,-81.7135
7/15/2019,10:40:05,EDT,30.29,535.8,5.23,7.61,2,3.48,0.32,313.7,26.7249,-81.7143
7/15/2019,10:40:10,EDT,30.27,535.5,5.19,7.61,2,3.43,0.32,314.5,26.7248,-81.7148
